jahr,stadtteil,kfz_ins,krad,pkw_ins,pkw_privat,pkw_gewerb,nutz,anhaenger
2017,Moorsee,1977,137,1401,1094,307,439,341
2017,Wellsee,4745,250,3404,2635,769,1091,488
2017,Rönne,349,47,279,276,3,23,63
2017,nicht_zuzuordnen1,56,4,49,45,4,3,5
2017,Kiel_insgesamt,127006,8193,109050,93970,15080,9763,10553
2016,Altstadt,898,14,801,294,507,83,45
2016,Vorstadt,1334,35,1198,497,701,101,81
2016,Exerzierplatz,2789,186,2441,2154,287,162,187
2016,Damperhof,1640,79,1396,1180,216,165,103
2016,Brunswik,2605,153,2294,2074,220,158,134
2016,Düsternbrook,2384,83,2182,1511,671,119,214
2016,Blücherplatz,5206,327,4684,4515,169,195,265
2016,Wik,9527,565,8454,7876,578,508,604
2016,Ravensberg,5448,297,4585,3765,820,566,496
2016,Schreventeich,7099,384,6007,3898,2109,708,302
2016,Südfriedhof,6765,479,5866,4873,993,420,422
2016,Gaarden-Ost,5026,220,4148,3536,612,658,552
2016,Gaarden-Süd/Kronsburg,5819,427,4933,4338,595,459,549
2016,Hassee,7129,515,5748,4902,846,866,738
2016,Hasseldieksdamm,2473,144,1794,1428,366,535,365
2016,Ellerbek,2742,212,2419,2358,61,111,231
2016,Wellingdorf,4097,303,3526,3220,306,268,403
2016,Holtenau,3038,215,2728,2659,69,95,246
2016,Pries,3729,341,3285,3256,29,103,382
2016,Friedrichsort,1090,90,950,853,97,50,71
2016,Neumühlen/Dietrichsdorf,5141,403,4536,4448,88,202,435
2016,Elmschenhagen,9429,810,8267,8111,156,352,931
2016,Suchsdorf,5751,413,5162,4756,406,176,370
2016,Schilksee,3297,181,3004,2877,127,112,326
2016,Mettenhof,7359,352,6799,6503,296,208,348
2016,Russee,4842,348,4028,3936,92,466,405
2016,Meimersdorf,1944,164,1675,1668,7,105,179
2016,Moorsee,1859,133,1349,1080,269,377,341
2016,Wellsee,4798,255,3400,2707,693,1143,469
2016,Rönne,352,47,280,279,1,25,58
2016,nicht_zuzuordnen1,50,4,43,40,3,3,4
2016,Kiel_insgesamt,125660,8179,107982,95592,12390,9499,10256
2015,Altstadt,846,12,760,269,491,74,43
2015,Vorstadt,1319,34,1191,523,668,94,87
2015,Exerzierplatz,2703,186,2360,2094,266,157,185
2015,Damperhof,1591,74,1352,1142,210,165,100
2015,Brunswik,2634,164,2306,2092,214,164,137
2015,Düsternbrook,2331,85,2137,1470,667,109,211
2015,Blücherplatz,5077,328,4561,4399,162,188,255
2015,Wik,9387,589,8323,7774,549,475,590
2015,Ravensberg,5331,305,4466,3659,807,560,534
2015,Schreventeich,6828,391,5867,3849,2018,570,316
2015,Südfriedhof,6495,454,5621,4842,779,420,402
2015,Gaarden-Ost,4907,228,4035,3407,628,644,562
2015,Gaarden-Süd/Kronsburg,5612,416,4764,4226,538,432,539
2015,Hassee,6994,499,5687,4852,835,808,717
2015,Hasseldieksdamm,2363,133,1724,1393,331,506,357
2015,Ellerbek,2674,201,2365,2311,54,108,220
2015,Wellingdorf,4033,288,3485,3177,308,260,398
2015,Holtenau,3003,200,2715,2652,63,88,240
2015,Pries,3694,336,3264,3236,28,94,356
2015,Friedrichsort,1061,96,915,819,96,50,74
2015,Neumühlen/Dietrichsdorf,5001,394,4419,4336,83,188,425
2015,Elmschenhagen,9368,825,8204,8058,146,339,896
2015,Suchsdorf,5666,406,5084,4709,375,176,353
2015,Schilksee,3262,175,2977,2837,140,110,323
2015,Mettenhof,7205,355,6652,6373,279,198,332
2015,Russee,4740,344,3975,3889,86,421,369
2015,Meimersdorf,1851,165,1598,1591,7,88,176
2015,Moorsee,1774,131,1329,1056,273,314,294
2015,Wellsee,4835,255,3315,2637,678,1265,505
2015,Rönne,349,45,279,278,1,25,54
2015,nicht_zuzuordnen1,35,3,29,27,2,3,4
2015,Kiel_insgesamt,122969,8117,105759,93977,11782,9093,10054
2014,Altstadt,822,13,731,279,452,78,44
2014,Vorstadt,1235,31,1118,508,610,86,98
2014,Exerzierplatz,2711,192,2355,2087,268,164,180
2014,Damperhof,1521,72,1309,1110,199,140,97
2014,Brunswik,2513,168,2195,1973,222,150,130
2014,Düsternbrook,2229,75,2049,1470,579,105,201
2014,Blücherplatz,5022,333,4507,4350,157,182,247
2014,Wik,9182,597,8159,7650,509,426,574
2014,Ravensberg,5169,303,4331,3645,686,535,519
2014,Schreventeich,6727,379,5801,3823,1978,547,324
2014,Südfriedhof,6309,451,5455,4723,732,403,398
2014,Gaarden-Ost,4821,230,3934,3322,612,657,586
2014,Gaarden-Süd/Kronsburg,5583,409,4735,4220,515,439,520
2014,Hassee,6931,491,5603,4766,837,837,739
2014,Hasseldieksdamm,2325,126,1694,1370,324,505,369
2014,Ellerbek,2633,198,2327,2288,39,108,217
2014,Wellingdorf,4018,298,3442,3130,312,278,411
2014,Holtenau,2959,198,2679,2617,62,82,223
2014,Pries,3730,343,3291,3262,29,96,351
2014,Friedrichsort,1049,89,917,814,103,43,73
2014,Neumühlen/Dietrichsdorf,4948,392,4386,4302,84,170,428
2014,Elmschenhagen,9304,819,8152,8009,143,333,880
2014,Suchsdorf,5438,374,4896,4597,299,168,340
2014,Schilksee,3245,159,2982,2848,134,104,317
2014,Mettenhof,7097,352,6560,6291,269,185,318
2014,Russee,4575,344,3947,3866,81,284,348
2014,Meimersdorf,1746,167,1499,1494,5,80,165
2014,Moorsee,1758,137,1298,1039,259,323,283
2014,Wellsee,4762,245,3251,2589,662,1266,494
2014,Rönne,343,39,278,277,1,26,54
2014,nicht_zuzuordnen1,13,2,8,7,1,3,3
2014,Kiel_insgesamt,120718,8026,103889,92726,11163,8803,9931
2013,Altstadt,809,11,719,286,433,79,47
2013,Vorstadt,1221,36,1103,483,620,82,75
2013,Exerzierplatz,2672,186,2330,2064,266,156,176
2013,Damperhof,1526,72,1314,1101,213,140,96
2013,Brunswik,2536,168,2204,1948,256,164,123
2013,Düsternbrook,2047,76,1878,1401,477,93,191
2013,Blücherplatz,5011,331,4495,4326,169,185,248
2013,Wik,9082,576,8097,7631,466,409,549
2013,Ravensberg,5084,292,4280,3606,674,512,498
2013,Schreventeich,6571,385,5681,3793,1888,505,303
2013,Südfriedhof,6203,448,5356,4660,696,399,383
2013,Gaarden-Ost,4688,235,3834,3203,631,619,555
2013,Gaarden-Süd/Kronsburg,5507,413,4674,4180,494,420,501
2013,Hassee,6812,481,5490,4658,832,841,752
2013,Hasseldieksdamm,2288,130,1677,1361,316,481,341
2013,Ellerbek,2568,199,2266,2237,29,103,206
2013,Wellingdorf,3972,285,3422,3104,318,265,406
2013,Holtenau,2933,200,2652,2597,55,81,219
2013,Pries,3669,331,3243,3216,27,95,327
2013,Friedrichsort,1038,92,903,807,96,43,68
2013,Neumühlen/Dietrichsdorf,4893,391,4337,4251,86,165,410
2013,Elmschenhagen,9226,814,8092,7928,164,320,864
2013,Suchsdorf,5352,345,4809,4555,254,198,332
2013,Schilksee,3178,149,2930,2818,112,99,306
2013,Mettenhof,7024,343,6481,6191,290,200,319
2013,Russee,4470,334,3909,3836,73,227,343
2013,Meimersdorf,1673,149,1448,1447,1,76,158
2013,Moorsee,1705,129,1244,1011,233,332,272
2013,Wellsee,4892,232,3150,2509,641,1510,460
2013,Rönne,337,38,273,272,1,26,55
2013,nicht_zuzuordnen1,11,2,8,7,1,1,3
2013,Kiel_insgesamt,118998,7873,102299,91487,10812,8826,9586
2012,Altstadt,803,13,711,281,430,79,44
2012,Vorstadt,1406,33,1271,491,780,102,79
2012,Exerzierplatz,2639,191,2289,2011,278,159,181
2012,Damperhof,1474,67,1278,1057,221,129,89
2012,Brunswik,2497,162,2191,1932,259,144,116
2012,Düsternbrook,1909,72,1745,1379,366,92,193
2012,Blücherplatz,4916,329,4409,4252,157,178,254
2012,Wik,9050,592,7983,7500,483,475,546
2012,Ravensberg,4995,297,4184,3538,646,514,466
2012,Schreventeich,6229,358,5358,3697,1661,513,295
2012,Südfriedhof,6115,450,5257,4506,751,408,375
2012,Gaarden-Ost,4537,227,3742,3148,594,568,502
2012,Gaarden-Süd/Kronsburg,5434,406,4599,4089,510,429,481
2012,Hassee,6751,475,5452,4613,839,824,765
2012,Hasseldieksdamm,2258,127,1665,1346,319,466,335
2012,Ellerbek,2539,200,2238,2215,23,101,201
2012,Wellingdorf,3919,278,3382,3084,298,259,379
2012,Holtenau,2929,200,2653,2596,57,76,227
2012,Pries,3621,331,3199,3173,26,91,319
2012,Friedrichsort,1026,88,899,807,92,39,71
2012,Neumühlen/Dietrichsdorf,4824,401,4256,4175,81,167,401
2012,Elmschenhagen,9135,808,8017,7865,152,310,842
2012,Suchsdorf,5721,328,5095,4519,576,298,314
2012,Schilksee,3181,159,2925,2809,116,97,301
2012,Mettenhof,7025,353,6482,6207,275,190,321
2012,Russee,4324,325,3875,3819,56,124,320
2012,Meimersdorf,1627,139,1421,1420,1,67,154
2012,Moorsee,1637,130,1178,946,232,329,264
2012,Wellsee,4849,230,3060,2424,636,1559,459
2012,Rönne,326,35,267,266,1,24,54
2012,nicht_zuzuordnen1,24,2,20,13,7,2,4
2012,Kiel_insgesamt,117720,7806,101101,90178,10923,8813,9352
2011,Altstadt,765,16,685,280,405,64,44
2011,Vorstadt,1535,33,1383,485,898,119,79
2011,Exerzierplatz,2594,184,2258,1994,264,152,172
2011,Damperhof,1452,70,1265,1043,222,117,85
2011,Brunswik,2461,153,2162,1917,245,146,115
2011,Düsternbrook,1828,69,1675,1372,303,84,184
2011,Blücherplatz,4838,332,4335,4187,148,171,250
2011,Wik,8835,581,7779,7290,489,475,537
2011,Ravensberg,4948,293,4146,3475,671,509,465
2011,Schreventeich,6313,357,5375,3717,1658,581,315
2011,Südfriedhof,6017,441,5141,4523,618,435,370
2011,Gaarden-Ost,4522,218,3754,3173,581,550,326
2011,Gaarden-Süd/Kronsburg,5375,408,4549,4061,488,418,464
2011,Hassee,6523,465,5306,4558,748,752,726
2011,Hasseldieksdamm,2235,136,1654,1352,302,445,311
2011,Ellerbek,2531,198,2239,2215,24,94,198
2011,Wellingdorf,3827,273,3296,3005,291,258,368
2011,Holtenau,2884,201,2605,2548,57,78,219
2011,Pries,3612,324,3188,3161,27,100,309
2011,Friedrichsort,1025,84,898,806,92,43,71
2011,Neumühlen/Dietrichsdorf,4805,387,4247,4177,70,171,398
2011,Elmschenhagen,8938,791,7831,7698,133,316,858
2011,Suchsdorf,5427,328,4929,4462,467,170,303
2011,Schilksee,3183,156,2932,2816,116,95,296
2011,Mettenhof,6937,344,6423,6150,273,170,325
2011,Russee,4278,335,3825,3768,57,118,322
2011,Meimersdorf,1558,139,1354,1352,2,65,145
2011,Moorsee,1577,124,1136,906,230,317,253
2011,Wellsee,4915,217,3067,2448,619,1631,410
2011,Rönne,330,34,270,269,1,26,56
2011,nicht_zuzuordnen1,22,2,18,13,5,2,4
2011,Kiel_insgesamt,116090,7693,99725,89221,10504,8672,8978
