jahr,stadtteil,kfz_ins,krad,pkw_ins,pkw_privat,pkw_gewerb,nutz,anhaenger,ew_ins
2014,Meimersdorf,1746,167,1499,1494,5,80,165,3064
2014,Moorsee,1758,137,1298,1039,259,323,283,1947
2014,Wellsee,4762,245,3251,2589,662,1266,494,5154
2014,Rönne,343,39,278,277,1,26,54,428
2014,Kiel,120718,8026,103889,92726,11163,8803,9931,242340
2013,Altstadt,809,11,719,286,433,79,47,625
2013,Vorstadt,1221,36,1103,483,620,82,75,1134
2013,Exerzierplatz,2672,186,2330,2064,266,156,176,6426
2013,Damperhof,1526,72,1314,1101,213,140,96,3302
2013,Brunswik,2536,168,2204,1948,256,164,123,6451
2013,Düsternbrook,2047,76,1878,1401,477,93,191,3049
2013,Blücherplatz,5011,331,4495,4326,169,185,248,11068
2013,Wik,9082,576,8097,7631,466,409,549,18602
2013,Ravensberg,5084,292,4280,3606,674,512,498,11998
2013,Schreventeich,6571,385,5681,3793,1888,505,303,11837
2013,Südfriedhof,6203,448,5356,4660,696,399,383,14742
2013,Gaarden-Ost,4688,235,3834,3203,631,619,555,16986
2013,Gaarden-Süd/Kronsburg,5507,413,4674,4180,494,420,501,10390
2013,Hassee,6812,481,5490,4658,832,841,752,12192
2013,Hasseldieksdamm,2288,130,1677,1361,316,481,341,2801
2013,Ellerbek,2568,199,2266,2237,29,103,206,5793
2013,Wellingdorf,3972,285,3422,3104,318,265,406,8034
2013,Holtenau,2933,200,2652,2597,55,81,219,5226
2013,Pries,3669,331,3243,3216,27,95,327,7377
2013,Friedrichsort,1038,92,903,807,96,43,68,2102
2013,Neumühlen/Dietrichsdorf,4893,391,4337,4251,86,165,410,11910
2013,Elmschenhagen,9226,814,8092,7928,164,320,864,17103
2013,Suchsdorf,5352,345,4809,4555,254,198,332,9427
2013,Schilksee,3178,149,2930,2818,112,99,306,5070
2013,Mettenhof,7024,343,6481,6191,290,200,319,19127
2013,Russee,4470,334,3909,3836,73,227,343,7077
2013,Meimersdorf,1673,149,1448,1447,1,76,158,2980
2013,Moorsee,1705,129,1244,1011,233,332,272,1967
2013,Wellsee,4892,232,3150,2509,641,1510,460,5080
2013,Rönne,337,38,273,272,1,26,55,423
2013,Kiel,118998,7873,102299,91487,10812,8826,9586,240299
2012,Altstadt,803,13,711,281,430,79,44,626
2012,Vorstadt,1406,33,1271,491,780,102,79,1101
2012,Exerzierplatz,2639,191,2289,2011,278,159,181,6414
2012,Damperhof,1474,67,1278,1057,221,129,89,3214
